"market_pair_basecurrency_symbol","exchangename","market_pair","quoteexchange_reportedvolume_24h_base","quoteUSDlast_updated"
BUSD,Binance,BUSD/USDT,880126039.13000000,"2021-06-07T13:01:54.000Z"
BUSD,VCC Exchange,BUSD/USDT,12190896.68034221,"2021-06-07T13:12:10.000Z"
BUSD,BKEX,BUSD/USDT,8395246.70070000,"2021-06-07T13:12:11.000Z"
BUSD,Binance.US,BUSD/USD,4696144.42390000,"2021-06-07T13:13:53.000Z"
BUSD,Binance,BUSD/DAI,4507066.27000000,"2021-06-07T13:14:54.000Z"
BUSD,OpenOcean,BUSD/USDT,3362604.28809860,"2021-06-07T13:12:12.000Z"
BUSD,DODO BSC,BUSD/USDT,2804849.41018716,"2021-06-07T13:12:21.000Z"
DAI,Uniswap (V3),DAI/USDC,19482105.81605997,"2021-06-07T13:06:13.000Z"
DAI,Coinbase Exchange,DAI/USD,11417992.69910000,"2021-06-07T13:15:23.000Z"
DAI,Curve Finance,DAI/USDC,8911432.96986209,"2021-06-07T13:06:08.000Z"
DAI,DODO,DAI/USDT,5280379.46076063,"2021-06-07T13:15:12.000Z"
DAI,MDEX(BSC),DAI/USDT,4942658.81579912,"2021-06-07T13:15:08.000Z"
DAI,Curve Finance,DAI/SUSD,2496069.63911965,"2021-06-07T13:03:10.000Z"
DAI,Curve Finance,DAI/USDT,1758277.30090249,"2021-06-07T13:15:11.000Z"
DAI,"1inch Exchange",DAI/TUSD,1463229.56560000,"2021-06-04T15:39:22.000Z"
DAI,Binance.US,DAI/USD,1011240.84864217,"2021-06-07T13:16:53.000Z"
DAI,"1inch Exchange",DAI/USDC,752322.12368056,"2021-06-07T13:15:16.000Z"
DAI,Kraken,DAI/USD,721519.86043586,"2021-06-07T13:16:55.000Z"
DAI,Hotcoin Global,DAI/USDT,682699.97769331,"2021-06-07T13:15:09.000Z"
DAI,AOFEX,DAI/USDT,679282.90887836,"2021-06-07T13:15:08.000Z"
DAI,XT.COM,DAI/USDT,584593.38000000,"2021-06-07T13:15:09.000Z"
DAI,Uniswap (V2),DAI/FEI,576277.37709186,"2021-05-21T08:54:07.000Z"
DAI,Kraken,DAI/USDT,513961.78974182,"2021-06-07T13:16:55.000Z"
DAI,Huobi Global,DAI/USDT,512456.21590856,"2021-06-07T13:16:53.000Z"
DAI,"0x Protocol",DAI/USDC,470249.49404051,"2021-06-07T13:12:22.000Z"
DAI,Huobi Global,DAI/HUSD,463102.71554341,"2021-06-07T13:13:53.000Z"
DAI,QuickSwap,DAI/USDT,448412.00588936,"2021-06-07T13:15:11.000Z"
DAI,OKEx,DAI/USDT,426837.50589715,"2021-06-07T13:16:53.000Z"
DAI,Xtheta Global,DAI/USDT,418192.74001100,"2021-06-07T13:15:08.000Z"
DAI,Curve Finance,DAI/BUSD,410910.18085751,"2021-06-02T02:24:07.000Z"
DAI,FTX,DAI/USDT,319130.32691847,"2021-06-07T13:16:53.000Z"
DAI,FTX,DAI/USD,271632.25130869,"2021-06-07T10:27:53.000Z"
DAI,Uniswap (V2),DAI/USDC,252846.41490353,"2021-06-07T13:12:10.000Z"
