;timestamp;open;high;low;close;volume
0;1622791260000;0,9997;0,9997;0,9997;0,9997;24,2307
1;1622791320000;0,9998;0,9998;0,9998;0,9998;31,851
2;1622791380000;0,9998;0,9998;0,9998;0,9998;66,742
3;1622791440000;0,9998;0,9998;0,9998;0,9998;0,0
4;1622791500000;0,9997;1,0001;0,9997;1,0001;211,39943756
5;1622791560000;1,0001;1,0001;1,0001;1,0001;0,0
6;1622791620000;0,9995;1,0001;0,9995;1,0001;89,6161792
7;1622791680000;1,0001;1,0001;1,0001;1,0001;0,0
8;1622791740000;0,9998;1,0001;0,9998;1,0001;40,62501276
9;1622791800000;0,9997;0,9997;0,9995;0,9995;4,256032905
10;1622791860000;0,9997;0,9997;0,9997;0,9997;13,6216
11;1622791920000;0,9998;1,0;0,9998;1,0;124,67424082
12;1622791980000;0,9998;0,9998;0,9995;0,9995;25,0791
13;1622792040000;0,9997;0,9997;0,9997;0,9997;3,9216
14;1622792100000;0,9997;0,9997;0,9994;0,9994;540,43660278
15;1622792160000;0,9998;0,9998;0,9997;0,9997;10,9483
16;1622792220000;0,9997;0,9997;0,9997;0,9997;0,0
17;1622792280000;0,9997;0,9997;0,9997;0,9997;10,4119
18;1622792340000;0,9997;0,9997;0,9995;0,9996;10,82605939
19;1622792400000;0,9994;0,9996;0,9994;0,9996;109,3608
20;1622792460000;0,9993;0,9993;0,9993;0,9993;17,7044
21;1622792520000;0,9995;0,9995;0,9995;0,9995;4976,7517
22;1622792580000;0,9995;0,9996;0,9994;0,9994;1372,5472
23;1622792640000;0,9996;0,9996;0,9996;0,9996;6,5928
24;1622792700000;0,9998;0,9998;0,9998;0,9998;11,1338
25;1622792760000;0,9995;0,9997;0,9995;0,9997;10,805470805
26;1622792820000;0,9998;0,9998;0,9998;0,9998;2,7436
27;1622792880000;0,9997;0,9998;0,9997;0,9998;156,9516
28;1622792940000;0,9998;1,0;0,9998;1,0;75,5217213
29;1622793000000;0,9997;0,9999;0,9993;0,9999;2334,3739
30;1622793060000;0,9998;0,9998;0,9998;0,9998;13,4833
31;1622793120000;0,9994;0,9994;0,9993;0,9993;1976,7353
32;1622793180000;0,9989;0,9991;0,9989;0,9991;91,2402
33;1622793240000;0,9991;0,9991;0,9989;0,9989;94,5085
34;1622793300000;0,9989;0,9989;0,9989;0,9989;0,0
35;1622793360000;0,9991;0,9993;0,9991;0,9993;102,7595
36;1622793420000;0,9989;0,999;0,9989;0,9989;151,08442291
37;1622793480000;0,9993;0,9993;0,9991;0,9991;640,0039
38;1622793540000;0,9991;0,9991;0,9991;0,9991;0,0
39;1622793600000;0,9988;0,9993;0,9987;0,9987;662,6197
40;1622793660000;0,9993;0,9993;0,9989;0,9989;259,9692
41;1622793720000;0,9991;0,9991;0,9991;0,9991;3,2692
42;1622793780000;0,9993;0,9993;0,999;0,999;618,8969
