;timestamp;open;high;low;close;volume
0;1621348080000;1,0011;1,0012;1,0011;1,0012;109960,35014137035
1;1621348140000;1,0012;1,0012;1,0011;1,0012;40538,7859
2;1621348200000;1,0011;1,0012;1,0011;1,0012;51598,55847012585
3;1621348260000;1,0011;1,0012;1,0011;1,0012;40054,04173484818
4;1621348320000;1,0012;1,0013;1,0011;1,0011;139867,6871
5;1621348380000;1,0012;1,0012;1,0011;1,0012;220454,9170889033
6;1621348440000;1,0011;1,0013;1,0011;1,0013;119872,45990146809
7;1621348500000;1,0013;1,0013;1,0012;1,0013;129673,43415147309
8;1621348560000;1,0012;1,0013;1,0012;1,0012;65706,22156833117
9;1621348620000;1,0013;1,0013;1,0012;1,0013;12945,0389
10;1621348680000;1,0012;1,0013;1,0012;1,0012;37473,74633159892
11;1621348740000;1,0013;1,0013;1,0012;1,0013;75342,7847
12;1621348800000;1,0013;1,0013;1,0012;1,0013;69618,40156520523
13;1621348860000;1,0013;1,0013;1,0012;1,0013;18763,6733
14;1621348920000;1,0012;1,0013;1,0012;1,0013;98530,2071
15;1621348980000;1,0012;1,0013;1,0012;1,0012;28142,0758
16;1621349040000;1,0013;1,0013;1,0012;1,0013;37790,30553317687
17;1621349100000;1,0013;1,0013;1,0012;1,0013;246277,63347595127
18;1621349160000;1,0012;1,0014;1,0012;1,0013;356375,34239190054
19;1621349220000;1,0014;1,0014;1,0013;1,0014;106937,91360896744
20;1621349280000;1,0013;1,0014;1,0013;1,0013;254027,9848746455
21;1621349340000;1,0013;1,0014;1,0013;1,0014;578560,4147
22;1621349400000;1,0013;1,0014;1,0013;1,0014;37507,3149
23;1621349460000;1,0013;1,0014;1,0013;1,0013;166903,7996327741
24;1621349520000;1,0014;1,0014;1,0013;1,0014;56272,8075
25;1621349580000;1,0013;1,0014;1,0012;1,0012;62407,898664847584
26;1621349640000;1,0012;1,0013;1,0012;1,0012;20967,7305
27;1621349700000;1,0012;1,0013;1,0011;1,0011;259442,51895621253
28;1621349760000;1,0011;1,0012;1,0011;1,0011;144904,4209
29;1621349820000;1,0011;1,0012;1,0011;1,0011;87565,4689
30;1621349880000;1,0011;1,0011;1,001;1,001;410490,4724
31;1621349940000;1,001;1,0011;1,001;1,0011;271683,918
32;1621350000000;1,0011;1,0011;1,001;1,001;313726,0988
33;1621350060000;1,0011;1,0011;1,001;1,001;119213,93384379183
34;1621350120000;1,0011;1,0011;1,001;1,0011;89880,61600088903
35;1621350180000;1,001;1,0011;1,001;1,001;77770,31253783838
36;1621350240000;1,001;1,0011;1,001;1,001;110902,96149013085
37;1621350300000;1,001;1,0011;1,001;1,0011;110306,13556839476
38;1621350360000;1,001;1,0011;1,001;1,001;113509,79564356209
39;1621350420000;1,001;1,0011;1,001;1,001;215335,1733
40;1621350480000;1,0011;1,0011;1,001;1,0011;188019,25003168514
41;1621350540000;1,001;1,0011;1,001;1,0011;387156,7890369693
42;1621350600000;1,001;1,0012;1,001;1,0011;329032,979
43;1621350660000;1,0012;1,0012;1,0011;1,0012;14260,0434
44;1621350720000;1,0012;1,0012;1,0011;1,0012;22164,9725
45;1621350780000;1,0012;1,0012;1,0011;1,0012;5053,2459
46;1621350840000;1,0011;1,0012;1,0011;1,0011;72199,2103784159
47;1621350900000;1,0011;1,0012;1,0011;1,0012;980,7167
48;1621350960000;1,0011;1,0012;1,0011;1,0012;2138,89124728326
49;1621351020000;1,0012;1,0012;1,0011;1,0012;14764,456331472233
50;1621351080000;1,0012;1,0012;1,0011;1,0011;10582,968500789053
51;1621351140000;1,0012;1,0012;1,0011;1,0011;5566,3286
52;1621351200000;1,0012;1,0012;1,0011;1,0012;8741,0768
53;1621351260000;1,0011;1,0012;1,0011;1,0012;24413,247027996404
54;1621351320000;1,0012;1,0012;1,0011;1,0011;58172,9522
55;1621351380000;1,0012;1,0012;1,0011;1,0012;143060,4825
56;1621351440000;1,0012;1,0012;1,001;1,001;196492,9437
57;1621351500000;1,001;1,0011;1,001;1,001;212964,88410628308
58;1621351560000;1,0011;1,0011;1,001;1,0011;753279,3073576866
59;1621351620000;1,0011;1,0011;1,001;1,001;117832,0909
60;1621351680000;1,0011;1,0011;1,001;1,001;424507,9038935671
61;1621351740000;1,001;1,0011;1,001;1,0011;302703,3651
62;1621351800000;1,0011;1,0012;1,0011;1,0011;228984,95972115462
63;1621351860000;1,0012;1,0012;1,0011;1,0011;161323,8114229025
64;1621351920000;1,0011;1,0012;1,0011;1,0011;127692,50481419297
65;1621351980000;1,0011;1,0012;1,0011;1,0011;26870,756188164203
66;1621352040000;1,0011;1,0012;1,0011;1,0011;42185,7834
67;1621352100000;1,0012;1,0012;1,0011;1,0012;57729,949
