"market_pair_basecurrency_symbol","exchangename","market_pair","quoteexchange_reportedvolume_24h_base","quoteUSDlast_updated"
USDC,Omgfin,USDC/USDT,389769.73970369,"2021-06-08T14:43:54.000Z"
USDC,Coinsbit,USDC/USDT,388006.95141324,"2021-06-08T15:03:12.000Z"
USDC,Waves Exchange,USDC/USDN,343752.91581600,"2021-06-08T15:06:12.000Z"
USDC,Bitfinex,USDC/USDT,291887.75476678,"2021-06-08T15:07:53.000Z"
USDC,Exrates,USDC/USD,268219.03000000,"2021-06-08T15:06:12.000Z"
USDC,Okcoin,USDC/USD,259195.66153231,"2021-06-08T15:06:13.000Z"
USDC,Bilaxy,USDC/USDT,248742.54000000,"2021-06-08T15:06:10.000Z"
USDC,MXC.COM,USDC/USDT,208177.99000000,"2021-06-08T15:06:16.000Z"
USDC,"1inch Exchange",USDC/SUSD,193246.85127072,"2021-06-08T15:03:22.000Z"
USDC,WhiteBIT,USDC/USDT,146077.64050000,"2021-06-08T15:06:10.000Z"
USDC,BakerySwap,USDC/BUSD,141533.64296776,"2021-06-08T15:06:14.000Z"
USDC,CEX.IO,USDC/USD,130241.73681400,"2021-06-08T15:06:11.000Z"
USDC,Hoo,USDC/USDT,109261.39000000,"2021-06-08T15:06:07.000Z"
USDC,"0x Protocol",USDC/FRAX,107415.88681671,"2021-06-08T15:06:14.000Z"
USDC,MXC.COM,USDC/UST,101439.05000000,"2021-06-08T15:06:16.000Z"
USDC,VinDAX,USDC/USDT,84493.56876127,"2021-06-08T15:06:08.000Z"
USDC,Hotbit,USDC/USDT,64388.24650619,"2021-06-08T15:06:13.000Z"
USDC,Curve Finance,USDC/PAX,60064.11645354,"2021-06-08T11:27:10.000Z"
USDC,Folgory,USDC/USDT,59544.45411100,"2021-06-08T15:06:13.000Z"
USDC,Azbit,USDC/USDT,49478.37000000,"2021-06-08T15:06:12.000Z"
USDC,B2BX,USDC/USDT,46714.23100824,"2021-06-08T15:06:11.000Z"
USDC,Waves Exchange,USDC/USDT,44983.49770200,"2021-06-08T15:06:12.000Z"
USDC,Flybit,USDC/USDT,35117.04237495,"2021-06-08T15:06:14.000Z"
USDC,Curve Finance,USDC/BUSD,31449.96068082,"2021-06-08T15:06:12.000Z"
USDC,AAX,USDC/USDT,31244.88102890,"2021-06-08T15:06:08.000Z"
USDC,BtcTurk | Pro,USDC/USDT,30258.15000000,"2021-06-08T15:07:53.000Z"
USDC,CrossTower,USDC/USD,25817.10822952,"2021-06-08T15:06:12.000Z"
USDC,CoinDCX,USDC/USDT,25030.95868361,"2021-06-08T15:06:12.000Z"
USDC,EXMO,USDC/USDT,24566.80200921,"2021-06-08T15:06:07.000Z"
USDC,CROSS exchange,USDC/USDT,22536.49338545,"2021-06-08T15:06:12.000Z"
USDC,ComethSwap,USDC/DAI,19671.22398917,"2021-05-11T14:30:07.000Z"
USDC,WazirX,USDC/USDT,17392.46000000,"2021-06-08T15:06:11.000Z"
USDC,OpenOcean,USDC/UST,16748.98874974,"2021-05-21T13:36:09.000Z"
USDC,EXMO,USDC/USD,16135.54869316,"2021-06-08T15:06:07.000Z"
USDC,Tokenlon,USDC/DAI,14187.25278100,"2021-06-08T15:06:12.000Z"
USDC,Independent Reserve,USDC/USD,9284.28000000,"2021-06-08T15:06:14.000Z"
USDC,CoinZoom,USDC/USD,8237.77377738,"2021-06-08T15:06:07.000Z"
USDC,ProBit Exchange,USDC/USDT,7367.60667110,"2021-06-08T15:06:13.000Z"
USDC,OpenOcean,USDC/DAI,7091.31462966,"2021-06-08T15:06:10.000Z"
USDC,ComethSwap,USDC/USDT,5442.65418053,"2021-05-17T05:30:11.000Z"
USDC,BiKi,USDC/USDT,3164.77200000,"2021-06-08T15:06:12.000Z"
USDC,"1inch Exchange",USDC/TUSD,3000.00000000,"2021-06-07T09:27:23.000Z"
USDC,SwipeSwap,USDC/USDT,2840.68854301,"2021-06-08T15:06:13.000Z"
USDC,Tokenlon,USDC/TUSD,2149.24875900,"2021-06-01T02:09:12.000Z"
USDC,DeversiFi,USDC/USDT,1655.90000000,"2021-06-08T15:06:12.000Z"
USDC,Tokenize Xchange,USDC/USD,1000.63610586,"2021-06-08T15:06:13.000Z"
USDC,CEX.IO,USDC/USDT,595.58150100,"2021-06-08T15:06:11.000Z"
USDC,Dfyn Network,USDC/DAI,331.07018332,"2021-05-21T22:39:07.000Z"
USDC,SpiritSwap,USDC/FRAX,302.50861353,"2021-06-08T15:06:09.000Z"
USDC,Dove Wallet,USDC/TUSD,206.09649581,"2021-06-08T15:03:11.000Z"
USDC,Curve Finance,USDC/TUSD,194.61436443,"2021-06-08T15:03:11.000Z"
USDC,OpenOcean,USDC/BUSD,92.57727200,"2021-06-08T15:06:10.000Z"
USDC,Dove Wallet,USDC/USDT,69.17635811,"2021-06-08T15:06:10.000Z"
USDC,BitBay,USDC/USD,61.02606888,"2021-06-08T15:06:10.000Z"
USDC,ViteX,USDC/USDT,35.66086260,"2021-06-08T15:06:11.000Z"
USDC,Dove Wallet,USDC/PAX,24.61439082,"2021-06-08T15:06:10.000Z"
USDC,Zipmex,USDC/USD,20.03607220,"2021-06-08T15:06:11.000Z"
USDC,Mooniswap,USDC/DAI,3.95238500,"2021-06-05T11:27:08.000Z"
USDC,Sushiswap,USDC/USDT,0.99797998,"2021-06-04T15:54:11.000Z"
USDC,VELIC,USDC/USDT,0.00000000,"2021-06-08T15:06:10.000Z"
USDC,BitRabbit,USDC/USDT,0.00000000,"2021-06-08T15:06:11.000Z"
USDC,ATOMARS,USDC/USDT,0.00000000,"2021-06-08T15:06:11.000Z"
USDC,Switcheo Network,USDC/DAI,0.00000000,"2021-06-08T15:06:18.000Z"
USDC,CoinZoom,USDC/USDT,0.00000000,"2021-06-08T15:06:07.000Z"
USDC,Koinbazar,USDC/USDT,0.00000000,"2021-05-28T11:54:12.000Z"
USDC,Uniswap (V3),USDC/USDT,0.00000000,"2021-06-08T15:06:10.000Z"
USDC,PlasmaSwap,USDC/USDT,0.00000000,"2021-06-08T15:06:10.000Z"
USDN,Curve Finance,USDN/USDT,3615462.66199317,"2021-06-08T15:03:11.000Z"
USDN,Curve Finance,USDN/USDC,1327928.67403922,"2021-06-08T15:06:12.000Z"
USDN,KuCoin,USDN/USDT,1197383.19344482,"2021-06-08T15:04:53.000Z"
USDN,MXC.COM,USDN/USDT,423554.88000000,"2021-06-08T15:03:12.000Z"
USDN,Curve Finance,USDN/DAI,27801.41438828,"2021-06-08T15:06:12.000Z"
USDN,Bittrex,USDN/USDT,12653.14646684,"2021-06-08T15:07:53.000Z"
USDN,Hotbit,USDN/USDT,8257.80100600,"2021-06-08T15:06:13.000Z"
USDN,Uniswap (V2),USDN/USDT,6514.62615230,"2021-06-08T13:48:07.000Z"
