;timestamp;open;high;low;close;volume
0;1618797540000;0,99341;0,99341;0,99291;0,99291;15,72
1;1618823340000;0,98303;0,98303;0,98303;0,98303;10,0
2;1618824720000;0,98303;0,98303;0,98303;0,98303;160,0
3;1618845300000;0,98304;0,98304;0,98303;0,98303;918,83
4;1618848900000;0,9993;0,99931;0,9993;0,99931;355,3
5;1618850520000;0,9993;0,9993;0,9993;0,9993;3,79
6;1618850640000;0,98311;0,98311;0,98311;0,98311;3,79
7;1618855560000;0,9993;0,9993;0,9993;0,9993;29,63
8;1618860900000;0,98331;0,98331;0,98303;0,98303;220,08
9;1618862760000;0,99921;0,99922;0,99921;0,99922;29,54
10;1618872300000;0,99922;0,99924;0,99922;0,99924;47,5
11;1618872420000;0,98333;0,98333;0,9833;0,9833;47,5
12;1618878780000;0,98304;0,98304;0,98304;0,98304;49,2
13;1618884360000;0,99917;0,99931;0,99917;0,99931;362,71
14;1618887240000;0,99931;1,11162;0,99931;1,11162;526,76
15;1618887720000;1,11163;1,11163;1,11163;1,11163;0,03
16;1618890480000;1,11164;1,11164;1,11129;1,11129;8,84
17;1618890960000;1,1113;1,1113;1,11096;1,11096;20,04
18;1618891560000;1,10834;1,10834;0,99361;0,99361;70,51
19;1618893060000;0,99971;0,99971;0,99971;0,99971;5,01
20;1618893660000;0,99971;0,99971;0,99971;0,99971;0,06
21;1618898220000;0,99971;0,99971;0,99971;0,99971;1,0
22;1618898880000;0,99437;0,99437;0,99362;0,99362;1,0
23;1618907880000;0,99971;0,99971;0,99971;0,99971;0,61
24;1618907940000;0,99362;0,99362;0,99362;0,99362;0,61
25;1618918500000;0,99362;0,99362;0,98303;0,98303;105,0
26;1618925940000;0,99411;0,99411;0,99411;0,99411;90,0
27;1618928640000;1,00021;1,00021;1,00021;1,00021;4,64
28;1618931100000;0,99889;0,99889;0,99889;0,99889;4,7
29;1618934940000;0,99889;0,99889;0,99889;0,99889;1,08
30;1618935420000;0,99981;1,16;0,99981;1,16;2,58
31;1618935960000;1,11161;1,11161;1,11161;1,11161;0,12
32;1618936200000;0,99894;0,99894;0,99894;0,99894;28,52
33;1618936380000;0,99893;0,99893;0,99889;0,99889;108,7
34;1618937940000;1,07485;1,15071;1,07485;1,15071;0,45
35;1618938060000;1,15071;1,15071;1,15071;1,15071;217,0
36;1618938360000;1,1016;1,1016;1,1016;1,1016;0,13
37;1618938960000;1,09168;1,09168;1,09168;1,09168;0,12
38;1618939200000;0,99896;0,99896;0,99896;0,99896;21,52
39;1618939920000;0,99897;0,99897;0,99897;0,99897;0,14
40;1618940220000;0,99895;0,99895;0,99895;0,99895;0,04
41;1618943880000;1,03175;1,06453;1,03175;1,06453;62,5
42;1618943940000;1,06453;1,06453;0,99431;0,99431;31,91
43;1618944060000;0,99434;0,99434;0,99434;0,99434;78,01
44;1618944420000;1,02943;1,19998;1,02943;1,19998;42,66
45;1618944960000;1,17001;1,17001;1,17001;1,17001;0,12
46;1618945560000;1,15713;1,15713;1,15713;1,15713;0,15
47;1618946160000;1,14439;1,14439;1,14439;1,14439;0,14
48;1618946760000;1,13179;1,13179;0,99443;0,99443;1,12
49;1618968840000;0,99454;0,99454;0,99453;0,99453;42,66
50;1619038620000;0,99454;0,99454;0,9943;0,9943;12,13
51;1619122200000;0,9948;0,9948;0,9948;0,9948;1,88
52;1619137920000;0,9948;0,9948;0,9948;0,9948;1,38
53;1619145000000;1,0005;1,0005;1,0005;1,0005;18,38
54;1619149620000;0,98303;0,98303;0,98303;0,98303;2,82
55;1619150640000;1,0005;1,0005;1,0005;1,0005;1,29
56;1619152080000;0,98303;0,98303;0,98303;0,98303;1,29
57;1619165880000;1,00101;1,00101;1,00101;1,00101;15,26
58;1619166600000;1,01;1,01;1,01;1,01;970,77
59;1619170620000;1,00001;1,00001;1,00001;1,00001;46,74
60;1619170680000;1,00001;1,00001;1,0;1,0;879,29
61;1619180640000;1,00002;1,00002;1,00002;1,00002;20,94
62;1619197560000;1,00004;1,00004;1,00004;1,00004;9,44
63;1619209680000;1,00006;1,00006;1,00006;1,00006;0,01
64;1619210580000;1,00007;1,00007;1,00007;1,00007;0,01
65;1619224140000;1,00011;1,00011;1,0;1,0;563,5
66;1619243700000;1,0003;1,0003;1,00023;1,00023;363,73
67;1619260080000;1,00024;1,00024;1,00024;1,00024;0,04
68;1619260200000;0,9942;0,9942;0,98309;0,98309;99,96
69;1619303400000;1,0;1,0;1,0;1,0;12,15
70;1619319600000;1,0;1,0;1,0;1,0;14,76
71;1619351040000;0,98309;0,98309;0,98309;0,98309;3227,06
72;1619359200000;1,0;1,0;1,0;1,0;8,19
73;1619364540000;0,98309;0,98309;0,98303;0,98303;9873,51
74;1619376300000;0,99999;0,99999;0,99999;0,99999;8,11
75;1619391840000;0,99998;0,99998;0,99998;0,99998;7,72
76;1619392440000;0,99998;0,99998;0,99998;0,99998;0,02
77;1619399640000;0,99998;0,99998;0,99998;0,99998;0,13
78;1619406840000;0,99998;0,99998;0,99998;0,99998;0,16
79;1619436120000;0,98304;0,98304;0,98303;0,98303;1191,32
80;1619436720000;0,99999;0,99999;0,99999;0,99999;8,63
81;1619439240000;0,99999;0,99999;0,99999;0,99999;0,02
82;1619442840000;0,99999;0,99999;0,99999;0,99999;0,02
83;1619446440000;0,99999;0,99999;0,99999;0,99999;0,01
84;1619450040000;0,99999;0,99999;0,99999;0,99999;0,01
85;1619453640000;0,99995;0,99995;0,99995;0,99995;0,02
86;1619457240000;0,99995;0,99995;0,99995;0,99995;0,09
87;1619460840000;0,99986;0,99986;0,99986;0,99986;0,14
88;1619463360000;0,98304;0,98334;0,98304;0,98334;596,2
89;1619469000000;0,99953;0,99953;0,99953;0,99953;8,57
90;1619469540000;0,98334;0,98334;0,98304;0,98304;13,0
91;1619489640000;0,99925;0,99925;0,99925;0,99925;0,02
92;1619499480000;0,99902;0,99902;0,99902;0,99902;0,01
93;1619500080000;0,99902;0,99902;0,99902;0,99902;0,01
94;1619507460000;0,99999;0,99999;0,99999;0,99999;0,04
95;1619510220000;0,99999;0,99999;0,99999;0,99999;196,42
96;1619512560000;1,0;1,0;1,0;1,0;1,27
97;1619513220000;0,99976;0,99976;0,98303;0,99229;376,35
98;1619513280000;0,98644;0,99089;0,98644;0,98812;123,01
99;1619513520000;0,99616;0,99646;0,99616;0,99646;4,39
100;1618797540000;0,99341;0,99341;0,99291;0,99291;15,72
101;1618823340000;0,98303;0,98303;0,98303;0,98303;10,0
102;1618824720000;0,98303;0,98303;0,98303;0,98303;160,0
103;1618845300000;0,98304;0,98304;0,98303;0,98303;918,83
104;1618848900000;0,9993;0,99931;0,9993;0,99931;355,3
105;1618850520000;0,9993;0,9993;0,9993;0,9993;3,79
106;1618850640000;0,98311;0,98311;0,98311;0,98311;3,79
107;1618855560000;0,9993;0,9993;0,9993;0,9993;29,63
108;1618860900000;0,98331;0,98331;0,98303;0,98303;220,08
109;1618862760000;0,99921;0,99922;0,99921;0,99922;29,54
110;1618872300000;0,99922;0,99924;0,99922;0,99924;47,5
111;1618872420000;0,98333;0,98333;0,9833;0,9833;47,5
112;1618878780000;0,98304;0,98304;0,98304;0,98304;49,2
113;1618884360000;0,99917;0,99931;0,99917;0,99931;362,71
114;1618887240000;0,99931;1,11162;0,99931;1,11162;526,76
115;1618887720000;1,11163;1,11163;1,11163;1,11163;0,03
116;1618890480000;1,11164;1,11164;1,11129;1,11129;8,84
117;1618890960000;1,1113;1,1113;1,11096;1,11096;20,04
118;1618891560000;1,10834;1,10834;0,99361;0,99361;70,51
119;1618893060000;0,99971;0,99971;0,99971;0,99971;5,01
120;1618893660000;0,99971;0,99971;0,99971;0,99971;0,06
121;1618898220000;0,99971;0,99971;0,99971;0,99971;1,0
122;1618898880000;0,99437;0,99437;0,99362;0,99362;1,0
123;1618907880000;0,99971;0,99971;0,99971;0,99971;0,61
124;1618907940000;0,99362;0,99362;0,99362;0,99362;0,61
125;1618918500000;0,99362;0,99362;0,98303;0,98303;105,0
126;1618925940000;0,99411;0,99411;0,99411;0,99411;90,0
127;1618928640000;1,00021;1,00021;1,00021;1,00021;4,64
128;1618931100000;0,99889;0,99889;0,99889;0,99889;4,7
129;1618934940000;0,99889;0,99889;0,99889;0,99889;1,08
130;1618935420000;0,99981;1,16;0,99981;1,16;2,58
131;1618935960000;1,11161;1,11161;1,11161;1,11161;0,12
132;1618936200000;0,99894;0,99894;0,99894;0,99894;28,52
133;1618936380000;0,99893;0,99893;0,99889;0,99889;108,7
134;1618937940000;1,07485;1,15071;1,07485;1,15071;0,45
135;1618938060000;1,15071;1,15071;1,15071;1,15071;217,0
136;1618938360000;1,1016;1,1016;1,1016;1,1016;0,13
137;1618938960000;1,09168;1,09168;1,09168;1,09168;0,12
138;1618939200000;0,99896;0,99896;0,99896;0,99896;21,52
139;1618939920000;0,99897;0,99897;0,99897;0,99897;0,14
140;1618940220000;0,99895;0,99895;0,99895;0,99895;0,04
141;1618943880000;1,03175;1,06453;1,03175;1,06453;62,5
142;1618943940000;1,06453;1,06453;0,99431;0,99431;31,91
143;1618944060000;0,99434;0,99434;0,99434;0,99434;78,01
144;1618944420000;1,02943;1,19998;1,02943;1,19998;42,66
145;1618944960000;1,17001;1,17001;1,17001;1,17001;0,12
146;1618945560000;1,15713;1,15713;1,15713;1,15713;0,15
147;1618946160000;1,14439;1,14439;1,14439;1,14439;0,14
148;1618946760000;1,13179;1,13179;0,99443;0,99443;1,12
149;1618968840000;0,99454;0,99454;0,99453;0,99453;42,66
150;1619038620000;0,99454;0,99454;0,9943;0,9943;12,13
151;1619122200000;0,9948;0,9948;0,9948;0,9948;1,88
152;1619137920000;0,9948;0,9948;0,9948;0,9948;1,38
153;1619145000000;1,0005;1,0005;1,0005;1,0005;18,38
154;1619149620000;0,98303;0,98303;0,98303;0,98303;2,82
155;1619150640000;1,0005;1,0005;1,0005;1,0005;1,29
156;1619152080000;0,98303;0,98303;0,98303;0,98303;1,29
157;1619165880000;1,00101;1,00101;1,00101;1,00101;15,26
158;1619166600000;1,01;1,01;1,01;1,01;970,77
159;1619170620000;1,00001;1,00001;1,00001;1,00001;46,74
160;1619170680000;1,00001;1,00001;1,0;1,0;879,29
161;1619180640000;1,00002;1,00002;1,00002;1,00002;20,94
162;1619197560000;1,00004;1,00004;1,00004;1,00004;9,44
163;1619209680000;1,00006;1,00006;1,00006;1,00006;0,01
164;1619210580000;1,00007;1,00007;1,00007;1,00007;0,01
165;1619224140000;1,00011;1,00011;1,0;1,0;563,5
166;1619243700000;1,0003;1,0003;1,00023;1,00023;363,73
167;1619260080000;1,00024;1,00024;1,00024;1,00024;0,04
168;1619260200000;0,9942;0,9942;0,98309;0,98309;99,96
169;1619303400000;1,0;1,0;1,0;1,0;12,15
170;1619319600000;1,0;1,0;1,0;1,0;14,76
171;1619351040000;0,98309;0,98309;0,98309;0,98309;3227,06
172;1619359200000;1,0;1,0;1,0;1,0;8,19
173;1619364540000;0,98309;0,98309;0,98303;0,98303;9873,51
174;1619376300000;0,99999;0,99999;0,99999;0,99999;8,11
175;1619391840000;0,99998;0,99998;0,99998;0,99998;7,72
176;1619392440000;0,99998;0,99998;0,99998;0,99998;0,02
177;1619399640000;0,99998;0,99998;0,99998;0,99998;0,13
178;1619406840000;0,99998;0,99998;0,99998;0,99998;0,16
179;1619436120000;0,98304;0,98304;0,98303;0,98303;1191,32
180;1619436720000;0,99999;0,99999;0,99999;0,99999;8,63
181;1619439240000;0,99999;0,99999;0,99999;0,99999;0,02
182;1619442840000;0,99999;0,99999;0,99999;0,99999;0,02
183;1619446440000;0,99999;0,99999;0,99999;0,99999;0,01
184;1619450040000;0,99999;0,99999;0,99999;0,99999;0,01
185;1619453640000;0,99995;0,99995;0,99995;0,99995;0,02
186;1619457240000;0,99995;0,99995;0,99995;0,99995;0,09
187;1619460840000;0,99986;0,99986;0,99986;0,99986;0,14
188;1619463360000;0,98304;0,98334;0,98304;0,98334;596,2
189;1619469000000;0,99953;0,99953;0,99953;0,99953;8,57
190;1619469540000;0,98334;0,98334;0,98304;0,98304;13,0
191;1619489640000;0,99925;0,99925;0,99925;0,99925;0,02
192;1619499480000;0,99902;0,99902;0,99902;0,99902;0,01
193;1619500080000;0,99902;0,99902;0,99902;0,99902;0,01
194;1619507460000;0,99999;0,99999;0,99999;0,99999;0,04
195;1619510220000;0,99999;0,99999;0,99999;0,99999;196,42
196;1619512560000;1,0;1,0;1,0;1,0;1,27
197;1619513220000;0,99976;0,99976;0,98303;0,99229;376,35
198;1619513280000;0,98644;0,99089;0,98644;0,98812;123,01
199;1619513520000;0,99616;0,99646;0,99616;0,99646;4,39
200;1618823340000;0,98303;0,98303;0,98303;0,98303;10,0
201;1618824720000;0,98303;0,98303;0,98303;0,98303;160,0
202;1618845300000;0,98304;0,98304;0,98303;0,98303;918,83
203;1618848900000;0,9993;0,99931;0,9993;0,99931;355,3
204;1618850520000;0,9993;0,9993;0,9993;0,9993;3,79
205;1618850640000;0,98311;0,98311;0,98311;0,98311;3,79
206;1618855560000;0,9993;0,9993;0,9993;0,9993;29,63
207;1618860900000;0,98331;0,98331;0,98303;0,98303;220,08
208;1618862760000;0,99921;0,99922;0,99921;0,99922;29,54
209;1618872300000;0,99922;0,99924;0,99922;0,99924;47,5
210;1618872420000;0,98333;0,98333;0,9833;0,9833;47,5
211;1618878780000;0,98304;0,98304;0,98304;0,98304;49,2
212;1618884360000;0,99917;0,99931;0,99917;0,99931;362,71
213;1618887240000;0,99931;1,11162;0,99931;1,11162;526,76
214;1618887720000;1,11163;1,11163;1,11163;1,11163;0,03
215;1618890480000;1,11164;1,11164;1,11129;1,11129;8,84
216;1618890960000;1,1113;1,1113;1,11096;1,11096;20,04
217;1618891560000;1,10834;1,10834;0,99361;0,99361;70,51
