"market_pair_basecurrency_symbol","exchangename","market_pair","quoteexchange_reportedvolume_24h_base","quoteUSDlast_updated"
USDC,Binance,USDC/BUSD,54409688.52000000,"2021-06-21T12:58:54.000Z"
USDC,Deepcoin,USDC/USDT,49650759.34406459,"2021-06-21T12:57:10.000Z"
USDC,Uniswap (V3),USDC/USDT,49516449.16300628,"2021-06-21T12:57:10.000Z"
USDC,DODO,USDC/USDT,47133590.30553045,"2021-06-21T12:57:10.000Z"
USDC,Bitfinex,USDC/USD,24839194.94407314,"2021-06-21T12:59:53.000Z"
USDC,Kraken,USDC/USD,22892996.78641322,"2021-06-21T12:58:54.000Z"
USDC,"1inch Exchange",USDC/USDT,22208861.80761072,"2021-06-21T12:57:19.000Z"
USDC,Curve Finance,USDC/USDT,15551353.79978658,"2021-06-21T12:57:11.000Z"
USDC,DigiFinex,USDC/USDT,14552115.33483255,"2021-06-21T12:57:12.000Z"
USDC,Curve Finance,USDC/SUSD,13265444.38273405,"2021-06-21T12:57:11.000Z"
USDC,Kraken,USDC/USDT,11272716.31706712,"2021-06-21T12:58:54.000Z"
USDC,Bitfinex,USDC/USDT,10250035.78166513,"2021-06-21T12:58:53.000Z"
USDC,Flybit,USDC/USDT,9568555.03582883,"2021-06-21T12:57:08.000Z"
USDC,LATOKEN,USDC/USDT,7271642.48849652,"2021-06-21T12:57:07.000Z"
USDC,BitMart,USDC/USDT,6428420.96719472,"2021-06-21T12:57:10.000Z"
USDC,"1inch Exchange",USDC/DAI,6125384.84829197,"2021-06-21T12:57:19.000Z"
USDC,QuickSwap,USDC/USDT,5556570.79260221,"2021-06-21T12:57:11.000Z"
USDC,Huobi Global,USDC/USDT,5528185.78796228,"2021-06-21T12:58:53.000Z"
USDC,KuCoin,USDC/USDT,4809691.02934741,"2021-06-21T12:58:53.000Z"
USDC,LocalTrade,USDC/USDT,3709087.41063804,"2021-06-21T12:57:11.000Z"
USDC,Binance.US,USDC/USD,3555733.50814919,"2021-06-21T12:58:53.000Z"
USDC,OKEx,USDC/USDT,2924432.85879836,"2021-06-21T12:59:53.000Z"
USDC,Tokenlon,USDC/USDT,2654915.68964600,"2021-06-21T12:57:10.000Z"
USDC,QuickSwap,USDC/DAI,2639190.30306296,"2021-06-21T12:57:11.000Z"
USDC,Uniswap (V2),USDC/USDT,2487126.04269266,"2021-06-21T12:57:11.000Z"
USDC,IndoEx,USDC/USDT,2412377.52427051,"2021-06-21T12:57:12.000Z"
USDC,Xtheta Global,USDC/USDT,2180455.96281572,"2021-06-21T12:57:11.000Z"
USDC,Bilaxy,USDC/USDT,2168561.98000000,"2021-06-21T12:57:07.000Z"
USDC,AscendEX (Bitmax),USDC/USDT,2038227.30000000,"2021-06-21T12:57:11.000Z"
USDC,GokuMarket,USDC/USDT,1986789.55566688,"2021-06-21T12:57:10.000Z"
USDC,Bitstamp,USDC/USD,1708707.90877000,"2021-06-21T12:58:53.000Z"
USDC,Bitrue,USDC/USDT,1169299.58324168,"2021-06-21T12:57:07.000Z"
USDC,Curve Finance,USDC/BUSD,1094676.41445992,"2021-06-21T12:57:11.000Z"
USDC,Liquid,USDC/USD,1083062.22359000,"2021-06-21T12:58:53.000Z"
USDC,Crypto.com Exchange,USDC/USDT,939532.53000000,"2021-06-21T12:57:12.000Z"
USDC,Gate.io,USDC/USDT,815841.55108018,"2021-06-21T12:59:53.000Z"
USDC,KuCoin,USDC/UST,734354.22430499,"2021-06-21T13:01:53.000Z"
USDC,"1inch Exchange",USDC/SUSD,698993.60866037,"2021-06-21T12:57:19.000Z"
USDC,CoinEx,USDC/USDT,574003.11803043,"2021-06-21T12:59:55.000Z"
USDC,Emirex,USDC/USDT,547745.19702800,"2021-06-21T12:57:13.000Z"
USDC,Bittrex,USDC/USD,525485.09574205,"2021-06-21T12:58:53.000Z"
USDC,ExMarkets,USDC/USDT,497590.76000000,"2021-06-21T12:57:08.000Z"
USDC,Huobi Global,USDC/HUSD,479453.84264142,"2021-06-21T12:58:53.000Z"
USDC,Dfyn Network,USDC/USDT,406059.89984434,"2021-06-21T12:57:11.000Z"
USDC,"0x Protocol",USDC/USDT,404278.23506845,"2021-06-21T12:57:18.000Z"
